Date,AAPL,AMZN,CSCO,GOOGL,GS,JPM,MSFT,NFLX,NVDA,TSLA
2023-11-22,191.06619262695312,146.7100067138672,47.708763122558594,138.49000549316406,335.8819274902344,152.3903045654297,377.1525573730469,478.0,487.1171875,234.2100067138672
2023-11-24,189.7279052734375,146.74000549316406,47.986602783203125,136.69000244140625,336.38775634765625,152.59901428222656,376.7333068847656,479.55999755859375,477.718017578125,235.4499969482422
2023-11-27,189.54812622070312,147.72999572753906,47.55992126464844,136.41000366210938,334.9595031738281,152.2511749267578,377.9111328125,479.1700134277344,482.3775939941406,236.0800018310547
2023-11-28,190.1573486328125,147.02999877929688,47.48053741455078,137.1999969482422,334.8999938964844,152.59901428222656,381.9936218261719,479.0,478.1679382324219,246.72000122070312
2023-11-29,189.128662109375,146.32000732421875,47.678993225097656,134.99000549316406,340.260009765625,153.37425231933594,378.15069580078125,477.19000244140625,481.357666015625,244.13999938964844
2023-11-30,189.70791625976562,146.08999633789062,48.006446838378906,132.52999877929688,341.5400085449219,155.1234588623047,378.2106018066406,473.9700012207031,467.6589050292969,240.0800018310547
2023-12-01,190.9962921142578,147.02999877929688,48.09575271606445,131.86000061035156,348.42999267578125,155.87879943847656,373.8187255859375,465.739990234375,467.60888671875,238.8300018310547
2023-12-04,189.18858337402344,144.83999633789062,47.678993225097656,129.27000427246094,349.3900146484375,157.02175903320312,368.4586486816406,453.8999938964844,455.05999755859375,235.5800018310547
2023-12-05,193.1735076904297,146.8800048828125,47.55992126464844,130.99000549316406,341.75,157.0018768310547,371.8323669433594,455.1499938964844,465.6600036621094,238.72000122070312
2023-12-06,192.07492065429688,144.52000427246094,47.331695556640625,130.02000427246094,341.9700012207031,155.35205078125,368.1192321777344,446.7300109863281,455.0299987792969,239.3699951171875
2023-12-07,194.02243041992188,146.8800048828125,47.88737106323242,136.92999267578125,344.6199951171875,155.8291015625,370.2652893066406,452.0,465.9599914550781,242.63999938964844
2023-12-08,195.46058654785156,147.4199981689453,48.006446838378906,134.99000549316406,350.8299865722656,157.5485076904297,373.53924560546875,453.760009765625,475.05999755859375,243.83999633789062
2023-12-11,192.93380737304688,145.88999938964844,49.00864791870117,133.2899932861328,351.760009765625,158.1249542236328,370.6146240234375,459.8900146484375,466.2699890136719,239.74000549316406
2023-12-12,194.4618682861328,147.47999572753906,48.94911193847656,132.52000427246094,352.6099853515625,159.5362548828125,373.68896484375,463.0,476.57000732421875,237.00999450683594
2023-12-13,197.7077178955078,148.83999633789062,49.306331634521484,132.57000732421875,362.7300109863281,160.07293701171875,373.678955078125,479.9800109863281,480.8800048828125,239.2899932861328
2023-12-14,197.85752868652344,147.4199981689453,49.05826187133789,131.94000244140625,383.4700012207031,162.9849853515625,365.2545471191406,469.8299865722656,483.5,251.0500030517578
2023-12-15,197.31822204589844,149.97000122070312,49.48493957519531,132.60000610351562,380.510009765625,164.21737670898438,370.04571533203125,472.05999755859375,488.8999938964844,253.5
2023-12-18,195.64035034179688,154.07000732421875,49.85208511352539,135.8000030517578,376.3999938964844,165.21124267578125,371.9621276855469,486.1199951171875,500.7699890136719,252.0800018310547
2023-12-19,196.68902587890625,153.7899932861328,49.79254913330078,136.64999389648438,382.45001220703125,167.4176483154297,372.571044921875,495.0199890136719,496.0400085449219,257.2200012207031
2023-12-20,194.5817108154297,152.1199951171875,49.41548156738281,138.33999633789062,377.5199890136719,165.529296875,369.9358825683594,489.2699890136719,481.1099853515625,247.13999938964844
2023-12-21,194.431884765625,153.83999633789062,49.316253662109375,140.4199981689453,380.57000732421875,166.4734649658203,372.85052490234375,491.6099853515625,489.8999938964844,254.5
2023-12-22,193.35328674316406,153.4199981689453,49.703243255615234,141.49000549316406,380.6499938964844,166.3740692138672,373.8885803222656,486.760009765625,488.29998779296875,252.5399932861328
2023-12-26,192.80398559570312,153.41000366210938,49.89177322387695,141.52000427246094,381.6099853515625,167.35801696777344,373.96844482421875,491.19000244140625,492.7900085449219,256.6099853515625
2023-12-27,192.90383911132812,153.33999633789062,50.050540924072266,140.3699951171875,384.4800109863281,168.36181640625,373.3795471191406,491.7900085449219,494.1700134277344,261.44000244140625
2023-12-28,193.3332977294922,153.3800048828125,50.090232849121094,140.22999572753906,386.4100036621094,169.25631713867188,374.5872802734375,490.510009765625,495.2200012207031,253.17999267578125
2023-12-29,192.28463745117188,151.94000244140625,50.12992477416992,139.69000244140625,385.7699890136719,169.0575408935547,375.34588623046875,486.8800048828125,495.2200012207031,248.47999572753906
2024-01-02,185.40341186523438,149.92999267578125,50.119998931884766,138.1699981689453,388.29998779296875,171.02540588378906,370.1854248046875,468.5,481.67999267578125,248.4199981689453
2024-01-03,184.01519775390625,148.47000122070312,50.5099983215332,138.9199981689453,381.7900085449219,170.27999877929688,369.9159240722656,470.260009765625,475.69000244140625,238.4499969482422
2024-01-04,181.6781768798828,144.57000732421875,50.08000183105469,136.38999938964844,382.95001220703125,171.41000366210938,367.2608337402344,474.6700134277344,479.9800109863281,237.92999267578125
2024-01-05,180.9490966796875,145.24000549316406,50.09000015258789,135.72999572753906,386.44000244140625,172.27000427246094,367.0711975097656,474.05999755859375,490.9700012207031,237.49000549316406
2024-01-08,185.32351684570312,149.10000610351562,50.459999084472656,138.83999633789062,388.8599853515625,172.02000427246094,373.9983825683594,485.0299987792969,522.530029296875,240.4499969482422
2024-01-09,184.904052734375,151.3699951171875,49.90999984741211,140.9499969482422,383.739990234375,170.66000366210938,375.09637451171875,482.0899963378906,531.4000244140625,234.9600067138672
2024-01-10,185.9527130126953,153.72999572753906,50.2400016784668,142.27999877929688,381.9599914550781,171.02000427246094,382.0634460449219,478.3299865722656,543.5,233.94000244140625
2024-01-11,185.35348510742188,155.17999267578125,50.439998626708984,142.0800018310547,379.75,170.3000030517578,383.9200439453125,492.2300109863281,548.219970703125,227.22000122070312
2024-01-12,185.6830596923828,154.6199951171875,50.34000015258789,142.64999389648438,377.75,169.0500030517578,387.7529602050781,492.1600036621094,547.0999755859375,218.88999938964844
2024-01-16,183.39598083496094,153.16000366210938,50.59000015258789,142.49000549316406,380.45001220703125,167.99000549316406,389.54962158203125,481.239990234375,563.8200073242188,219.91000366210938
2024-01-17,182.4471893310547,151.7100067138672,50.29999923706055,141.47000122070312,377.17999267578125,167.08999633789062,388.7510986328125,480.3299865722656,560.530029296875,215.5500030517578
2024-01-18,188.38961791992188,153.5,50.75,143.47999572753906,376.9100036621094,167.4199981689453,393.1429748535156,485.30999755859375,571.0700073242188,211.8800048828125
2024-01-19,191.3158721923828,155.33999633789062,51.27000045776367,146.3800048828125,382.20001220703125,170.30999755859375,397.93414306640625,482.95001220703125,594.9099731445312,212.19000244140625
2024-01-22,193.6428985595703,154.77999877929688,51.56999969482422,145.99000549316406,385.9599914550781,170.11000061035156,395.7781066894531,485.7099914550781,596.5399780273438,208.8000030517578
2024-01-23,194.93125915527344,156.02000427246094,51.7599983215332,147.0399932861328,380.7699890136719,168.99000549316406,398.1636962890625,492.19000244140625,598.72998046875,209.13999938964844
2024-01-24,194.2521209716797,156.8699951171875,51.310001373291016,148.6999969482422,379.3999938964844,170.5,401.8169250488281,544.8699951171875,613.6199951171875,207.8300018310547
2024-01-25,193.92254638671875,157.75,52.33000183105469,151.8699951171875,382.70001220703125,172.94000244140625,404.1226806640625,562.0,616.1699829101562,182.6300048828125
2024-01-26,192.17477416992188,159.1199951171875,52.13999938964844,152.19000244140625,377.7900085449219,172.27999877929688,403.1844177246094,570.4199829101562,610.3099975585938,183.25
2024-01-29,191.48565673828125,161.25999450683594,52.290000915527344,153.50999450683594,380.55999755859375,172.72999572753906,408.9637145996094,575.7899780273438,624.6500244140625,190.92999267578125
2024-01-30,187.80035400390625,159.0,52.2400016784668,151.4600067138672,386.8699951171875,176.27000427246094,407.8358154296875,562.8499755859375,627.739990234375,191.58999633789062
2024-01-31,184.1649932861328,155.1999969482422,50.18000030517578,140.10000610351562,384.010009765625,174.36000061035156,396.84613037109375,564.1099853515625,615.27001953125,187.2899932861328
2024-02-01,186.6218719482422,159.27999877929688,50.18000030517578,141.16000366210938,383.8500061035156,173.72999572753906,403.0346984863281,567.510009765625,630.27001953125,188.86000061035156
2024-02-02,185.6131591796875,171.80999755859375,50.18000030517578,142.3800048828125,387.8599853515625,174.72999572753906,410.4609680175781,564.6400146484375,661.5999755859375,187.91000366210938
2024-02-05,187.44081115722656,170.30999755859375,49.5099983215332,143.67999267578125,383.0199890136719,174.5,404.9012451171875,562.0599975585938,693.3200073242188,181.05999755859375
2024-02-06,189.0587615966797,169.14999389648438,49.97999954223633,144.10000610351562,384.989990234375,175.10000610351562,404.74151611328125,555.8800048828125,682.22998046875,185.10000610351562
2024-02-07,189.1686248779297,170.52999877929688,49.77000045776367,145.5399932861328,386.6600036621094,175.42999267578125,413.28570556640625,559.2999877929688,700.989990234375,187.5800018310547
2024-02-08,188.08001708984375,169.83999633789062,49.95000076293945,145.91000366210938,385.0400085449219,174.8000030517578,413.3456115722656,558.530029296875,696.4099731445312,189.55999755859375
2024-02-09,188.85000610351562,174.4499969482422,50.130001068115234,149.0,384.260009765625,175.00999450683594,419.7737121582031,561.3200073242188,721.3300170898438,193.57000732421875
2024-02-12,187.14999389648438,172.33999633789062,49.9900016784668,147.52999877929688,392.6400146484375,175.7899932861328,414.4934997558594,557.8499755859375,722.47998046875,188.1300048828125
2024-02-13,185.0399932861328,168.63999938964844,49.63999938964844,145.13999938964844,378.75,174.25999450683594,405.57000732421875,554.52001953125,721.280029296875,184.02000427246094
2024-02-14,184.14999389648438,170.97999572753906,50.279998779296875,145.94000244140625,378.0400085449219,176.02999877929688,409.489990234375,579.3300170898438,739.0,188.7100067138672
2024-02-15,183.86000061035156,169.8000030517578,49.060001373291016,142.77000427246094,385.4200134277344,179.8699951171875,406.55999755859375,593.4600219726562,726.5800170898438,200.4499969482422
2024-02-16,182.30999755859375,169.50999450683594,48.439998626708984,140.52000427246094,384.44000244140625,179.02999877929688,404.05999755859375,583.9500122070312,726.1300048828125,199.9499969482422
2024-02-20,181.55999755859375,167.0800018310547,48.279998779296875,141.1199951171875,384.5199890136719,179.72999572753906,402.7900085449219,575.1300048828125,694.52001953125,193.75999450683594
2024-02-21,182.32000732421875,168.58999633789062,48.47999954223633,142.5500030517578,388.2699890136719,180.89999389648438,402.17999267578125,573.3499755859375,674.719970703125,194.77000427246094
2024-02-22,182.94500732421875,172.00999450683594,48.440101623535156,143.1999969482422,390.2200012207031,182.77999877929688,408.9100036621094,585.0900268554688,776.6951293945312,194.4980010986328
